,Open,High,Low,Close,Volume
2022-02-21 21:00:00,38251.5,38351,36961,37068.9,19180438.3121583
2022-02-21 20:00:00,38139.7,38446.5,37955.4,38241.4,7798866.29824514
2022-02-21 19:00:00,37752.9,38330.8,37555.1,38132.4,18144965.4557953
2022-02-21 18:00:00,38526.9,38664.2,37544,37754.5,29881652.3756361
2022-02-21 17:00:00,38696.4,38828.4,38475.1,38527.1,11557808.3597321
2022-02-21 16:00:00,38822.7,39137,38651.6,38687.1,11981844.8057314
2022-02-21 15:00:00,38684.1,39284,38633.1,38822.6,24213738.9899317
2022-02-21 14:00:00,37554.3,38862.8,37480.6,38685.4,31759595.8215133
2022-02-21 13:00:00,37544.8,37706.5,37205.1,37554.3,18568887.1786453
2022-02-21 12:00:00,37579.5,37776.1,37401.9,37544.7,13297412.4257783
2022-02-21 11:00:00,38289.4,38432.6,37354.5,37588.3,23297335.437653
2022-02-21 10:00:00,38924.6,38977.1,38227.1,38289.5,19295593.1552065
2022-02-21 09:00:00,39060.1,39106.5,38875,38924.6,5954792.44397978
2022-02-21 08:00:00,39293.9,39362.8,39027.8,39060.1,6070841.6784376
2022-02-21 07:00:00,39208.3,39319.7,39069.6,39293.9,6816330.27800293
2022-02-21 06:00:00,39221.3,39269.7,39140.2,39208.3,7300887.32337524
2022-02-21 05:00:00,39303.9,39500,39210.4,39221.3,7563503.74840362
2022-02-21 04:00:00,38914.2,39380,38906.7,39303.3,13286815.4078269
2022-02-21 03:00:00,39100.6,39244.3,38801.3,38914.2,8578585.92104906
2022-02-21 02:00:00,39154.7,39250,39019.8,39100.6,10733436.355343
2022-02-21 01:00:00,38738.3,39383.8,38560,39154.7,33033129.8058318
2022-02-21 00:00:00,38380,38749,38193,38741.5,11547242.1404594
2022-02-20 23:00:00,38805.5,38988,38340,38380,14693742.5873206
2022-02-20 22:00:00,38243.8,38845,38243.7,38815.4,18366018.9039978
2022-02-20 21:00:00,38314.7,38355.8,38045.6,38243.8,9876711.83684887
2022-02-20 20:00:00,38399.2,38399.2,38250,38314.6,4094208.59804501
2022-02-20 19:00:00,38435.5,38435.6,38336.1,38399.2,3921113.7596316
2022-02-20 18:00:00,38271.7,38447,38173,38446.9,7459236.51041054
2022-02-20 17:00:00,38269.6,38403.3,38218.2,38271.7,6251064.30545093
2022-02-20 16:00:00,38340.5,38512.7,38252.1,38273.3,9559624.67257933
2022-02-20 15:00:00,38203.5,38417.7,38174.4,38341.9,7833772.40342876
2022-02-20 14:00:00,38209.4,38305.7,38022,38203.5,12505689.4620844
2022-02-20 13:00:00,38214.5,38321.9,38177.8,38209.4,6394937.02121266
2022-02-20 12:00:00,38348.7,38623.4,38199.3,38212.9,14504994.4450477
2022-02-20 11:00:00,38187,38358.3,38129.2,38348.7,5743386.14445029
2022-02-20 10:00:00,38185.2,38381.2,38142.8,38187,7239643.40609839
2022-02-20 09:00:00,38159.8,38427.9,37979.3,38185.1,14746836.2261932
2022-02-20 08:00:00,38792.9,38844.3,38111,38159.7,20149512.2329039
2022-02-20 07:00:00,38800.1,38888.2,38589.4,38792.8,14789584.0839449
2022-02-20 06:00:00,39358.4,39446.7,38706.8,38800.1,22892830.702734
2022-02-20 05:00:00,39560.9,39695,39283.4,39358.4,15151163.140806
2022-02-20 04:00:00,39794.8,39842.5,39500,39564.8,17314522.5759585
2022-02-20 03:00:00,39839.7,39894.6,39703,39794.8,6836585.80386079
2022-02-20 02:00:00,39995.5,40018,39824,39839.7,3829904.0869195
2022-02-20 01:00:00,39928.6,40019,39816,39995.4,3371447.57302635
2022-02-20 00:00:00,40086.7,40125.2,39877.8,39928.6,3413876.98581452
2022-02-19 23:00:00,40016,40143,39958.5,40086.7,3614910.58615807
2022-02-19 22:00:00,39925.3,40048.3,39874.2,40016,3002779.11837669
2022-02-19 21:00:00,40069.1,40077.8,39800,39925.3,4825942.85753209
2022-02-19 20:00:00,39977.4,40110.3,39943.2,40069.1,3811912.94459074
2022-02-19 19:00:00,40122.2,40130.2,39912.2,39977.3,5883158.87155738
2022-02-19 18:00:00,40141.8,40207.9,40059,40122.1,4727443.16928653
2022-02-19 17:00:00,39951.7,40172.9,39880.8,40144.3,7331963.43069363
2022-02-19 16:00:00,39973.7,40369.2,39864.9,39951.6,13515548.4920613
2022-02-19 15:00:00,39874.7,40001.9,39811.2,39973.6,5665601.17876984
2022-02-19 14:00:00,40022,40022.1,39775.1,39874.7,5304164.03849979
2022-02-19 13:00:00,39750.5,40067.9,39632,40023.2,9855013.72824319
2022-02-19 12:00:00,39845.5,39950,39664.1,39750.5,9259352.71837132
2022-02-19 11:00:00,39950.6,40036.6,39646,39845.5,11999665.8849367
2022-02-19 10:00:00,39928.4,39974.3,39768.1,39951.8,7786961.61356429
2022-02-19 09:00:00,39975.7,40061.8,39875.6,39928.4,7098276.45812984
2022-02-19 08:00:00,40263.4,40292.2,39928,39978.7,6495735.22828274
2022-02-19 07:00:00,40383.8,40410.6,40246.9,40263.4,3771177.22931399
2022-02-19 06:00:00,40234.5,40454,40190.9,40383.8,9242491.18064693
2022-02-19 05:00:00,40216.3,40249.9,40151.7,40234.5,4064725.81927408
2022-02-19 04:00:00,40132,40288,40074.8,40216.3,3498026.45119559
2022-02-19 03:00:00,40162.7,40231.3,40064,40130.1,3311535.16445935
2022-02-19 02:00:00,40155.2,40215.8,40078.3,40162.7,3604989.59622156
2022-02-19 01:00:00,40205.2,40322,40058.5,40155.1,5936786.38240079
2022-02-19 00:00:00,39976.6,40242.9,39921.3,40205.2,6484296.76008991
2022-02-18 23:00:00,39934.7,40081,39881.9,39976.5,3652036.09950516
2022-02-18 22:00:00,39968.6,40048.7,39736.6,39934.7,7965728.5920181
2022-02-18 21:00:00,40024,40156,39894,39968.6,13208347.8071256
2022-02-18 20:00:00,40212.9,40278.6,39943,40023.9,11999711.470416
2022-02-18 19:00:00,40136.6,40337,40044.2,40212.8,9697243.36884899
2022-02-18 18:00:00,40027.8,40231.3,39785.1,40136.6,13648566.5653853
2022-02-18 17:00:00,39930.1,40373.9,39915,40033.7,18243646.2908952
2022-02-18 16:00:00,39828.6,40423.3,39450,39930,37447166.4767722
2022-02-18 15:00:00,40483.8,40810.9,39661.1,39828.6,39177092.291255
2022-02-18 14:00:00,40381,40510,39618.6,40483.7,38333238.7776448
