unix,date,symbol,open,high,low,close,Volume EOS,Volume BTC,tradecount
1608595200000,2020-12-22 00:00:00,EOS/BTC,0.0001289,0.000129,0.0001192,0.0001218,3507139.48,438.55723506,20053
1608508800000,2020-12-21 00:00:00,EOS/BTC,0.0001336,0.0001385,0.0001272,0.0001289,4941893.03,655.49264572,27223
1608422400000,2020-12-20 00:00:00,EOS/BTC,0.0001282,0.0001397,0.0001281,0.0001336,5466013.8,735.69948581,29698
1608336000000,2020-12-19 00:00:00,EOS/BTC,0.0001323,0.0001347,0.0001274,0.0001282,2798468.58,367.92552136,16226
1608249600000,2020-12-18 00:00:00,EOS/BTC,0.0001334,0.0001355,0.0001322,0.0001324,1806659.04,241.47590893,13398
1608163200000,2020-12-17 00:00:00,EOS/BTC,0.0001454,0.000147,0.0001302,0.0001333,6248403.11,860.17716899,35969
1608076800000,2020-12-16 00:00:00,EOS/BTC,0.0001473,0.0001485,0.0001424,0.0001454,3908209.57,567.44117114,19711
1607990400000,2020-12-15 00:00:00,EOS/BTC,0.0001477,0.0001498,0.0001464,0.0001473,1494726.11,221.27534424,9829
1607904000000,2020-12-14 00:00:00,EOS/BTC,0.0001487,0.000149,0.0001464,0.0001476,1304596.49,192.76794135,10994
1607817600000,2020-12-13 00:00:00,EOS/BTC,0.0001471,0.0001503,0.0001461,0.0001486,1903546.25,281.34096448,10474
1607731200000,2020-12-12 00:00:00,EOS/BTC,0.0001493,0.0001509,0.000147,0.0001472,1828733.23,272.58725454,11021
1607644800000,2020-12-11 00:00:00,EOS/BTC,0.0001502,0.000152,0.0001491,0.0001495,1657556.09,249.21580495,11321
1607558400000,2020-12-10 00:00:00,EOS/BTC,0.0001515,0.0001525,0.0001496,0.0001502,1371872.14,207.46942968,9806
1607472000000,2020-12-09 00:00:00,EOS/BTC,0.0001529,0.0001536,0.0001506,0.0001515,1695892.47,257.74092994,12117
1607385600000,2020-12-08 00:00:00,EOS/BTC,0.0001539,0.0001541,0.0001496,0.0001529,1935977.94,294.48880012,10991
1607299200000,2020-12-07 00:00:00,EOS/BTC,0.0001548,0.0001563,0.000153,0.0001539,1234626.51,190.72044184,8907
1607212800000,2020-12-06 00:00:00,EOS/BTC,0.000157,0.0001576,0.0001536,0.0001548,963162.44,149.24861554,7738
1607126400000,2020-12-05 00:00:00,EOS/BTC,0.0001526,0.0001573,0.0001523,0.0001572,1600804.67,246.73874819,9982
1607040000000,2020-12-04 00:00:00,EOS/BTC,0.0001584,0.0001625,0.0001496,0.0001526,2689122.38,423.2411576,20405
